Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
1,Puka Nacua,24,LAR,WR,16,15,166,129,1715,13.3,10,80,70.5,58,8.1,107.2,77.7,10.3,1,PBAP-1AP OPoY-3,NacuPu00
2,Trey McBride,26,ARI,TE,17,17,169,126,1239,9.8,11,63,61.5,31,7.4,72.9,74.6,7.3,0,PBAP-1,McBrTr01
3,Ja'Marr Chase,25,CIN,WR,16,16,185,125,1412,11.3,8,73,55.7,64,7.8,88.3,67.6,7.6,1,PBAP-1,ChasJa00
4,Jaxon Smith-Njigba,23,SEA,WR,17,17,163,119,1793,15.1,10,79,61.3,63,7.0,105.5,73.0,11.0,3,PBAP-1AP OPoY-1,SmitJa06
5,Amon-Ra St. Brown,26,DET,WR,17,17,172,117,1401,12.0,11,70,54.7,52,6.9,82.4,68.0,8.1,1,PBAP-2,StxxAm00
6,Christian McCaffrey,29,SFO,RB,17,17,129,102,924,9.1,7,48,57.4,39,6.0,54.4,79.1,7.2,2,PBAP-1AP MVP-4AP OPoY-2AP CPoY-1,McCaCh01
7,Chris Olave,25,NOR,WR,16,16,156,100,1163,11.6,9,53,49.4,62,6.3,72.7,64.1,7.5,0,AP-2,OlavCh00
8,George Pickens,24,DAL,WR,17,15,137,93,1429,15.4,9,73,65.0,45,5.5,84.1,67.9,10.4,4,PBAP-2,PickGe00
9,Wan'Dale Robinson,24,NYG,WR,16,15,140,92,1014,11.0,4,39,42.9,50,5.8,63.4,65.7,7.2,1,,RobiWa01
10,Kyle Pitts,25,ATL,TE,17,17,118,88,928,10.5,5,51,55.1,36,5.2,54.6,74.6,7.9,0,AP-2,PittKy00
11,Zay Flowers,25,BAL,WR,17,17,118,86,1211,14.1,5,48,59.3,64,5.1,71.2,72.9,10.3,3,PB,FlowZa00
12,Stefon Diggs,32,NWE,WR,17,17,102,85,1013,11.9,4,51,68.6,34,5.0,59.6,83.3,9.9,0,AP CPoY-5,DiggSt00
13,Justin Jefferson,26,MIN,WR,17,17,141,84,1048,12.5,2,47,46.1,50,4.9,61.6,59.6,7.4,0,,JeffJu00
14,Jake Ferguson,26,DAL,TE,17,10,102,82,600,7.3,8,30,51.0,26,4.8,35.3,80.4,5.9,3,PB,FergJa00
15,Dalton Schultz,29,HOU,TE,17,6,106,82,777,9.5,3,39,60.4,47,4.8,45.7,77.4,7.3,1,,SchuDa00
16,Keenan Allen,33,LAC,WR,17,3,122,81,777,9.6,4,49,54.9,31,4.8,45.7,66.4,6.4,2,,AlleKe00
17,Michael Pittman Jr.,28,IND,WR,17,16,111,80,784,9.8,7,47,57.7,27,4.7,46.1,72.1,7.1,0,,PittMi01
18,Bijan Robinson,23,ATL,RB,17,17,103,79,820,10.4,4,34,56.3,69,4.6,48.2,76.7,8.0,4,PBAP-1AP OPoY-4,RobiBi01
19,A.J. Brown,28,PHI,WR,15,15,121,78,1003,12.9,7,46,50.4,45,5.2,66.9,64.5,8.3,0,,BrowAJ00
20,Michael Wilson,25,ARI,WR,17,13,126,78,1006,12.9,7,51,53.2,50,4.6,59.2,61.9,8.0,0,,WilsMi02
21,Jahmyr Gibbs,23,DET,RB,17,17,94,77,616,8.0,5,24,45.7,42,4.5,36.2,81.9,6.6,2,PB,GibbJa01
22,Juwan Johnson,29,NOR,TE,17,10,102,77,889,11.5,3,41,59.8,52,4.5,52.3,75.5,8.7,2,,JohnJu02
23,DeVonta Smith,27,PHI,WR,17,16,113,77,1008,13.1,4,44,51.3,79,4.5,59.3,68.1,8.9,0,,SmitDe07
24,Travis Kelce,36,KAN,TE,17,17,108,76,851,11.2,5,46,61.1,44,4.5,50.1,70.4,7.9,1,PB,KelcTr00
25,Tyler Warren,23,IND,TE,17,12,112,76,817,10.8,4,42,51.8,41,4.5,48.1,67.9,7.3,1,PB,WarrTy00
26,CeeDee Lamb,26,DAL,WR,14,13,117,75,1077,14.4,3,43,51.3,74,5.4,76.9,64.1,9.2,0,PB,LambCe00
27,Jakobi Meyers,29,2TM,WR,16,13,110,75,835,11.1,3,43,58.2,50,4.7,52.2,68.2,7.6,1,,MeyeJa01
27,Jakobi Meyers,29,LVR,WR,7,6,49,33,352,10.7,0,15,59.2,45,4.7,50.3,67.3,7.2,0,,MeyeJa01
27,Jakobi Meyers,29,JAX,WR,9,7,61,42,483,11.5,3,28,57.4,50,4.7,53.7,68.9,7.9,1,,MeyeJa01
28,Courtland Sutton,30,DEN,WR,17,16,124,74,1017,13.7,7,52,54.0,52,4.4,59.8,59.7,8.2,0,PB,SuttCo00
29,Kenneth Gainwell,26,PIT,RB,17,2,85,73,486,6.7,3,23,40.0,45,4.3,28.6,85.9,5.7,2,,GainKe00
30,Harold Fannin,21,CLE,TE,16,13,107,72,731,10.2,6,32,41.1,35,4.5,45.7,67.3,6.8,1,,FannHa00
31,Deebo Samuel,29,WAS,WR,16,12,99,72,727,10.1,5,32,53.5,41,4.5,45.4,72.7,7.3,3,,SamuDe00
32,Khalil Shakir,25,BUF,WR,16,10,95,72,719,10.0,4,28,45.3,54,4.5,44.9,75.8,7.6,1,,ShakKh00
33,Nico Collins,26,HOU,WR,15,15,120,71,1117,15.7,6,48,49.2,57,4.7,74.5,59.2,9.3,1,PB,CollNi00
34,Tetairoa McMillan,22,CAR,WR,17,17,122,70,1014,14.5,7,55,51.6,43,4.1,59.6,57.4,8.3,1,AP ORoY-1,McMiTe00
35,Chase Brown,25,CIN,RB,17,17,88,69,437,6.3,5,18,44.3,23,4.1,25.7,78.4,5.0,2,,BrowCh10
36,Drake London,24,ATL,WR,12,12,112,68,919,13.5,7,46,56.3,43,5.7,76.6,60.7,8.2,1,,LondDr00
